#Points;Dimension;sorttime;ExecBruteNano;ExecVar1Nano;Kmax;Kavg
2500;2;5001304;73888660;1182932;   13,840000;    1,319208
2500;3;1188180;54968233;556939;   43,580000;   12,976288
2500;4;624257;66073404;1685733;   99,500000;   45,431992
2500;5;603029;76101442;3736216;  167,660000;   96,671464
2500;6;662367;92342738;7249464;  253,880000;  163,884872
2500;7;1103985;122842996;12094632;  332,140000;  240,271704
2500;8;598858;143085122;20064024;  431,820000;  326,183376
2500;9;611094;130537022;31126541;  533,020000;  404,128768
2500;10;731139;139165649;42865522;  632,980000;  486,046472
2500;11;591866;148654672;56127168;  737,360000;  570,785144
2500;12;783010;166713354;69078788;  825,300000;  639,442056
2500;13;816448;178217692;81188613;  940,280000;  710,516680
2500;14;861610;201590483;93149154; 1044,720000;  773,756416
2500;15;729558;216615548;104468248; 1141,780000;  829,546392
2500;16;553609;212972261;112186992; 1226,040000;  884,214224
2500;17;433851;230019090;143102350; 1316,820000;  940,612136
2500;18;744526;256626972;158194431; 1443,060000; 1000,123976
2500;19;632552;263710044;179591266; 1533,520000; 1040,650016
2500;20;566681;293196389;213315304; 1617,720000; 1076,816608
2500;21;491278;310280855;234971649; 1706,500000; 1103,255264
2500;22;689774;304517898;237834010; 1829,100000; 1142,838472
2500;23;813892;369274192;263921571; 1889,960000; 1161,915936
2500;24;1109478;343874235;288910704; 2009,040000; 1191,784112
2500;25;958737;399148481;321110694; 2087,160000; 1207,709632
2500;26;1414156;369262791;330466560; 2202,920000; 1226,905152
2500;27;834149;426390505;361610455; 2271,640000; 1233,890776
2500;28;750088;437431875;383192351; 2303,340000; 1237,021912
2500;29;598169;450388522;394086016; 2419,200000; 1245,892968
